pointId,pointType,title,address,lon,lat,fractions,scheduleDescription,rating_score
10958,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Москва, Крылатская ул., 17к3",37.42152900000001,55.77035900000001,ODEZHDA,,1.0
10960,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Москва, Летниковская ул., 2с3",37.643408,55.728986000000006,ODEZHDA,,0.0
10961,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Москва, Малая Пироговская ул., 8",37.570474,55.72961,ODEZHDA,,1.0
10965,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Москва, Миклухо-Маклая ул., 18к2",37.5192743,55.64499469999998,ODEZHDA,,0.0
10966,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Россия, Москва, улица Серпуховский Вал",37.620141,55.71180100000001,ODEZHDA,,0.0
10967,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Москва, ул. Нижняя Сыромятническая, д. 10 стр. 7",37.668651000000004,55.752171000000004,ODEZHDA,,0.0
10968,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Москва, Новодмитровская ул., 1",37.58515,55.80647,ODEZHDA,,0.0
10970,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Москва, Новокузнецкая ул., 1c1",37.629967,55.740224000000005,ODEZHDA,,0.5
10973,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Москва, Поклонная ул., 15",37.520518,55.73335089999998,ODEZHDA,,0.0
10974,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Москва, Правды ул., 8к7",37.584416,55.786909,ODEZHDA,,0.0
10975,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Москва, Садовая-Спасская ул., 12/23с2",37.64162,55.77055200000001,ODEZHDA,,1.0
10976,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Москва, Старая Басманная ул., 15",37.66077899999999,55.765796999999985,ODEZHDA,,1.0
10982,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","Москва, Тимирязевская ул., 2/3",37.573510000000006,55.807920899999985,ODEZHDA,,1.0
10984,RC,"Контейнер для приема одежды фонда ""Второе дыхание""","г. Москва, ул. Тушинская, д.17",37.444589,55.826916,ODEZHDA,,1.0
